                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.19661,                0.17605,                0.93416,                0.95991,                0.99601,                 0.9935,                0.96138,                0.27688,                0.26584,                0.84471,             0.00014851,             0.00014851,             0.00014851
                    131,                0.19137,                0.16809,                0.93186,                 0.9614,                0.99378,                0.99393,                0.96141,                 0.2691,                0.26462,                0.82823,             0.00014409,             0.00014409,             0.00014409
                    132,                0.19439,                0.16812,                0.93337,                0.96135,                0.99257,                0.99302,                0.96018,                0.27063,                0.27773,                0.82902,             0.00013968,             0.00013968,             0.00013968
                    133,                0.18553,                0.17046,                0.92588,                0.94765,                0.99356,                0.99171,                0.95823,                0.27622,                0.27778,                 0.8384,             0.00013526,             0.00013526,             0.00013526
                    134,                0.18863,                0.17138,                0.92807,                0.95972,                0.99084,                 0.9938,                0.95968,                0.26577,                0.27816,                0.83043,             0.00013084,             0.00013084,             0.00013084
                    135,                0.19313,                0.17552,                0.93249,                0.96174,                0.99232,                 0.9942,                0.96084,                0.26496,                  0.269,                0.82813,             0.00012642,             0.00012642,             0.00012642
                    136,                0.18061,                0.15834,                0.92526,                0.96306,                 0.9881,                0.99284,                0.95934,                0.26332,                0.26881,                0.82515,               0.000122,               0.000122,               0.000122
                    137,                0.18565,                0.17334,                0.92699,                0.95467,                 0.9966,                0.99181,                0.95878,                0.26353,                0.26111,                0.82588,             0.00011759,             0.00011759,             0.00011759
                    138,                0.18279,                0.16316,                0.92536,                0.95523,                0.99646,                0.99235,                0.95848,                0.26384,                0.26862,                0.82433,             0.00011317,             0.00011317,             0.00011317
                    139,                0.18288,                0.16101,                0.92562,                0.94567,                0.99965,                0.99296,                0.95841,                0.26745,                0.26523,                0.82634,             0.00010875,             0.00010875,             0.00010875
                    140,                0.18173,                0.16121,                0.92792,                0.93904,                0.99488,                0.99222,                0.95312,                0.27587,                 0.2755,                0.83467,             0.00010433,             0.00010433,             0.00010433
                    141,                0.18245,                 0.1656,                0.92761,                0.94397,                0.99185,                 0.9926,                0.95757,                0.27617,                0.27186,                0.83663,             9.9915e-05,             9.9915e-05,             9.9915e-05
                    142,                0.18704,                0.16411,                0.92803,                0.95174,                0.99566,                0.99258,                0.95759,                0.26721,                 0.2597,                0.82776,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    143,                0.18311,                 0.1653,                0.92865,                0.96115,                0.99398,                 0.9915,                0.95767,                0.26327,                0.25317,                0.82635,              9.108e-05,              9.108e-05,              9.108e-05
                    144,                0.18185,                0.15879,                 0.9249,                0.96124,                 0.9971,                0.99129,                0.95695,                0.27065,                0.25418,                0.83356,             8.6662e-05,             8.6662e-05,             8.6662e-05
                    145,                0.17836,                0.16004,                0.92594,                0.95721,                0.99773,                0.99179,                0.95758,                0.27528,                 0.2611,                  0.841,             8.2244e-05,             8.2244e-05,             8.2244e-05
                    146,                0.17425,                0.15736,                0.92097,                0.96002,                      1,                0.99212,                0.96456,                0.27628,                0.26168,                0.84205,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    147,                0.17777,                0.15422,                 0.9244,                0.96001,                  0.998,                0.99302,                0.95957,                0.26943,                0.25938,                0.83425,             7.3408e-05,             7.3408e-05,             7.3408e-05
                    148,                0.17971,                0.15923,                0.92364,                0.96059,                0.99646,                0.99228,                0.95981,                0.26975,                0.26351,                0.83338,              6.899e-05,              6.899e-05,              6.899e-05
                    149,                0.17146,                0.14848,                 0.9208,                0.96167,                0.99601,                 0.9928,                0.95887,                0.27111,                0.25676,                0.83539,             6.4572e-05,             6.4572e-05,             6.4572e-05
                    150,                0.17207,                0.15367,                0.92367,                0.96223,                0.99575,                0.99339,                0.96058,                0.27264,                0.26266,                0.83788,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    151,                0.12377,                0.10499,                0.89367,                0.96188,                0.99498,                0.99339,                 0.9688,                0.28114,                0.25482,                0.84935,             5.5737e-05,             5.5737e-05,             5.5737e-05
                    152,                0.11866,                0.09556,                0.89179,                0.96031,                0.99498,                0.99209,                0.96223,                0.27322,                  0.258,                0.83893,             5.1319e-05,             5.1319e-05,             5.1319e-05
